keingkaran,keingkaran
hiru-biru,hiru-biru
perusuhan,perusuhan
seropot,seropot
serot,serot
menyeruput,menghirup
pergaduhan,pergaduhan
pergelutan,pergelutan
perkelahian,pergaduhan
perlagaan,perlagaan
persabungan,persabungan
minum arak,minum arak
minum minuman ,minum minuman
anggar,anggar
permainan peda,permainan peda
perkelahian ke,pergaduhan ke
perang tanding,perang tanding
makanan ringan,makanan ringan
ngemil,ngemil
mematuk,mematuk
radang,radang
reumatik,reumatik
mematuk-matuk ,mematuk-matuk
makan dgn gelo,makan dgn gelo
tikaman,tikaman
penyakit lelah,penyakit lelah
pesakit asma,pesakit asma
mencuit-cuit,mencuit-cuit
mengunggis,mengunggis
mengutil,mencuri
mamah makanan,mamah makanan
memamah biak,memamah biak
ruminat,ruminat
melihat-lihat,melihat-lihat
masa jeda,masa rehat
angkat topi,angkat topi
membelanjai,membelanjai
menjamu selera,menjamu selera
membuat senang,membuat senang
berpenyakit,berpenyakit
morbid,morbid
patologi,patologi
penyakit,penyakit
percekcokan,percekcokan
pertentangan p,pertentangan p
tinggal diluar,tinggal diluar
mencari makana,mencari makana
demonstrasi,demonstrasi
tunjuk cara,tunjuk cara
buas,buas
benak,benak
fikiran,fikiran
foder,foder
pakan,makanan
Pesta Teh Bost,Pesta Teh Bost
memberi makan,memberi makan
firdausi,firdausi
pengingkaran,pengingkaran
ketidakpatuhan,ketidakpatuhan
ketidaktaatan,ketidaktaatan
dewa,dewa
tuhan,tuhan
kehinaan,kehinaan
menghidangkan,menghidangkan
dihidangkannya,dihidangkannya
hidangkan,hidangkan
menjamukan,menjamukan
menyajikan mak,menyajikan mak
menyediakan ma,menyediakan ma
sajikan,sajikan
tersaji,tersaji
di dunia,di dunia
duniawi,duniawi
keduniaan,keduniaan
menyedia makan,menyedia makan
batau,batau
menyalurkan ai,menyalurkan ai
prosiding,prosiding
hal-hal duniaw,hal-hal duniaw
boleh hadam,boleh hadam
dapat dicernak,boleh dicernak
memberi kepuas,memberi kepuas
kes,kes
guaman,guaman
mendasari,mendasari
berjumpa denga,berjumpa denga
memenuhi kehen,memenuhi kehen
puaskan,puaskan
sudah memadai,sudah memadai
mengakomodasik,mengakomodasik
bertahan lama,bertahan lama
menyara,menyara
tindakan undan,tindakan undan
tumbuh liar,tumbuh liar
adopsi,penggunaan
makan tengah h,makan tengah h
makanan utk te,makanan utk te
makan pagi,makan pagi
sarapan,sarapan
sarapan pagi,sarapan pagi
besar dan bera,besar dan bera
berjamu,berjamu
majlis makan,majlis makan
perjamuan,Jamuan
berkenduri,berkenduri
merayakan,merayakan
bankrap,bankrap
keadaan bankra,keadaan bankra
kemuflisan,kemuflisan
kebangkrutan,kebankrapan
tidak berat,tidak berat
meneteki,meneteki
litigasi,tindakan undang-undang
dakwaan,dakwaan
mencerai susu,mencerai susu
mati kelaparan,mati kelaparan
membiarkan mat,membiarkan mat
pewarganegaraa,pewarganegaraa
keputusan peng,keputusan peng
melaparkan,melaparkan
bernafsu,bernafsu
mendahagai,mendahagai
mendambakan,mendambakan
mengingini,mengingini
makan bersukat,makan bersukat
mengurangi mak,mengurangkan mak
hukuman mahkam,hukuman mahkam
membimbangkan,membimbangkan
merisaukan,merisaukan
berpuasa,berpuasa
tahan lapar,tahan lapar
saum,saum
menanggang per,menanggang per
agak pantang,agak pantang
mabukan,mabukan
