abad,abad
abadi,abadi
abai,abai
abang,abang
abdi,abdi
abjad,abjad
absah,absah
absen,hadir
abstrak,abstrak
abu,abu
acak,rawak
acap,acap
acar,acar
acara,acara
acuan,acuan
ada,ada
adab,adab
adakalanya,adakalanya
adalah,adalah
adat,adat
adegan,adegan
adem,adem
adik,adik
adil,adil
adinda,adinda
adu,adu
aduhai,aduhai
aduk,aduk
advokat,peguam bela
afdal,afdal
agak,agak
agama,agama
agar-agar,agar-agar
agen,agen
agenda,agenda
agresi,pencerobohan
agresif,agresif
Ahad,Ahad
ahli,ahli
aib,aib
air,air
ajaib,ajaib
ajak,ajak
ajal,ajal
ajar,ajar
ajudan,pembantu
akad,akad
akal,akal
akar,akar
akhir,akhir
akhirat,akhirat
akibat,akibat
akidah,akidah
akik,akik
akrab,akrab
akrobat,akrobat
aksara,aksara
akses,akses
aksi,aksi
akta,akta
aktif,aktif
aku,aku
akur,akur
akurat,tepat
akut,akut
alam,alam
alamat,alamat
alas,alas
alat,alat
album,album
algojo,algojo
alhasil,alhasil
alias,alias
alih,alih
alim,alim
alir,alir
alis,kening
almanak,almanak
almarhum,almarhum
almari,almari
alokasi,peruntukan
alpa,alpa
alun,alun
alur,alur
amal,amal
aman,selamat
amanat,amanat
amarah,amarah
amatir,amatur
ambang,ambang
ambil,turun
ambisi,cita-cita
amblas,amblas
ambruk,runtuh
Amin,Amin
ampang,ampang
ampas,hampas
ampun,ampun
anak,anak
ancam,ancam
andai,andai
andal,andal
aneh,aneh
anggap,anggap
anggapan,anggapan
anggota,ahli
angguk,angguk
anggukan,anggukan
anggun,anggun
angin,angin
angka,angka
angkara,angkara
angkasa,angkasa
angkat,angkat
angkuh,angkuh
angsa,kapas
animisme,animisme
anjing,anjing
anjung,anjung
anjur,anjur
anti,anti
anting-anting,anting-anting
anugerah,anugerah
apabila,apabila
apar,apar
apik,bergaya
apit,apit
apung,apung
arah,berjalan
arak,arak
arang,arang
arena,arena
arif,arif
arti,arti
arus,arus
arwah,arwah
asal,asal
asam,asam
asap,asap
asar,asar
asin,masin
asing,asing
asli,asal
asma,asma
aspek,aspek
aspirasi,aspirasi
asrama,asrama
asuh,asuh
atap,bumbung
atas,atas
atau,atau
atlas,atlas
atom,atom
atur,atur
aula,dewan
aur,aur
awal,awal
awam,awam
awas,awas
awet,awet
ayah,ayah
ayak,ayak
ayam,ayam
ayo,ayo
ayun,ayun
azab,azab
azimat,azimat
babad,babad
babak,babak
babi,babi
baca,baca
badai,badai
badak,badak
badan,badan
badik,badik
badut,badut
bagai,bagai
bagaimana,bagaimana
bagan,bagan
bagasi,Bagasi
baginda,baginda
bagus,bagus
bahagia,bahagia
bahan,bahan
bahaya,bahaya
bahkan,bahkan
bahu,bahu
baik,baik
baja,baja
bajak,bajak
baji,baji
bajingan,bajingan
baju,baju
bak,tab
baka,baka
bakal,bakal
bakar,bakar
bakat,bakat
bakhil,bakhil
baki,baki
bakso,bakso
bakteri,bakteria
bakti,bakti
baku,baku
bakul,bakul
bakung,bakung
bala,bala
balai,balai
balap,lumba
balas,balas
balig,baligh
balik,balik
balkon,beranda
balok,rasuk
balon,belon
balsem,balsem
bambu,buluh
ban,ban
banci,banci
bandar,bandar
bandel,bandel
banding,banding
bandit,penyamun
bandul,bandul
Bandung,Bandung
bangga,bangga
bangkai,bangkai
bangkit,bangkit
bangkrut,muflis
bangku,bangku
bangsal,bangsal
bangsat,bangsat
bangun,bangun
banjir,banjir
bank,bank
bantah,bantah
bantai,bantai
bantal,bantal
banting,banting
bantu,bantu
banyak,banyak
bara,bara
barang,barang
barangkali,barangkali
baring,baring
baris,baris
baru,baru
basa,basa
basah,basah
basi,basi
baskom,baskom
basmi,basmi
basuh,basuh
bata,bata
batal,batal
batang,batang
batas,batas
batik,batik
batin,batin
batu,batu
batuk,batuk
bau,bau
baut,baut
bawa,bawa
bawah,bawah
bawang,bawang
bayam,bayam
bayar,bayar
bayi,bayi
bazar,bazar
bebal,bebal
beban,beban
bebas,bebas
bebek,itik
beberapa,beberapa
becak,beca
becek,becek
Beda,Beda
bedak,bedak
bedil,bedil
begini,begini
begitu,begitu
bekal,bekal
bekas,bekas
beku,beku
bel,loceng
belah,belah
belajar,belajar
belaka,belaka
belakang,belakang
belalai,belalai
belalang,belalang
Belanda,Belanda
belang,belang
belanga,belanga
belanja,belanja
belantara,belantara
belas,belas
belasungkawa,belasungkawa
belenggu,belenggu
belerang,belerang
beli,beli
belia,belia
belimbing,belimbing
belit,belit
beliung,beliung
belok,belok
belukar,belukar
belulang,belulang
belum,belum
belut,belut
benalu,benalu
benang,benang
benar,benar
bencah,bencah
bencana,bencana
benci,benci
benda,benda
bendera,bendera
bendi,bendi
bendung,Kawal
bengal,bengal
bengis,bengis
bengkak,bengkak
bengkarung,bengkarung
bengkel,bengkel
bengkok,bengkok
benih,benih
bening,bening
bensin,petrol
benteng,benteng
bentuk,bentuk
benua,benua
berada,berada
beradu,beradu
beragam,berbeza-beza
berair,berair
berak,berak
berakal,berakal
berakit,berakit
beranda,beranda
berang,berang
berangkat,berangkat
berangsur,beransur
berani,berani
berantakan,berantakan
berapa,berapa
berarak,berarak
beras,beras
berasal,berasal
berasap,berasap
berat,berat
berbahaya,berbahaya
berbakat,berbakat
berbalas,berbalas
berbaling,berbaling
berbaur,berbaur
berbelit,berbelit
berbicara,bercakap
berbisik,berbisik
berbuat,berbuat
